input,output,prompt,task,split
C1=CC=NC=C1.CC(C)(C)OC(=O)N1CCC(C)(C(=O)O)CC1.CCN=C=NCCCN(C)C.COC(=O)C1=CC=C2C=CN(CC3=CC=CC(N)=C3)C(=O)C2=C1.Cl,COC(=O)C1=CC=C2C=CN(CC3=CC=CC(NC(=O)C4(C)CCN(C(=O)OC(C)(C)C)CC4)=C3)C(=O)C2=C1,"For the reactants C1=CC=NC=C1.CC(C)(C)OC(=O)N1CCC(C)(C(=O)O)CC1.CCN=C=NCCCN(C)C.COC(=O)C1=CC=C2C=CN(CC3=CC=CC(N)=C3)C(=O)C2=C1.Cl, predict the final product of the chemical reaction.",forward reaction prediction,train
CC(C)CS(=O)(=O)Cl.C[Si](C)(C)CCOCN1C=CC2=NC(C3=CC=CN=C3N[C@@H]3CCNC3)=CN=C21,CC(C)CS(=O)(=O)N1CC[C@@H](NC2=NC=CC=C2C2=CN=C3C(=N2)C=CN3COCC[Si](C)(C)C)C1,Analyze the reactant(s) CC(C)CS(=O)(=O)Cl.C[Si](C)(C)CCOCN1C=CC2=NC(C3=CC=CN=C3N[C@@H]3CCNC3)=CN=C21 and predict the expected product. Explain your reasoning.,forward reaction prediction,train
CCN(C[C@@H](N)C1=CC=C(Cl)C(C(F)(F)F)=C1)S(=O)(=O)C1=CC=C([N+](=O)[O-])C=C1.Cl.NC(=O)C1=CC=NC2=C(O)N=CN=C12,CCNC[C@@H](NC1=NC=NC2=C(C(N)=O)C=CN=C12)C1=CC=C(Cl)C(C(F)(F)F)=C1,Predict the outcome of the reaction given the reactants CCN(C[C@@H](N)C1=CC=C(Cl)C(C(F)(F)F)=C1)S(=O)(=O)C1=CC=C([N+](=O)[O-])C=C1.Cl.NC(=O)C1=CC=NC2=C(O)N=CN=C12.,forward reaction prediction,train
COC1=CC(OC)=CC(C(=O)N2CCCCC2C(C)=O)=C1.ClC(Cl)(Cl)Cl.O=C(O)C(F)(F)F,COC1=CC(OC)=C2C(C)=C3CCCCN3C(=O)C2=C1,"Using the reactants COC1=CC(OC)=CC(C(=O)N2CCCCC2C(C)=O)=C1.ClC(Cl)(Cl)Cl.O=C(O)C(F)(F)F, determine the product of the chemical reaction.",forward reaction prediction,train
CC#N.C[C@@H](CO[Si](C)(C)C(C)(C)C)N1C=CC2=CN=CN=C21.O=C1CCC(=O)N1I.O=S([O-])([O-])=S.[Na+],C[C@@H](CO[Si](C)(C)C(C)(C)C)N1C=C(I)C2=CN=CN=C21,"Based on the molecular input CC#N.C[C@@H](CO[Si](C)(C)C(C)(C)C)N1C=CC2=CN=CN=C21.O=C1CCC(=O)N1I.O=S([O-])([O-])=S.[Na+], predict the product of the reaction.",forward reaction prediction,train
CC(=O)O.CO.Cl.O=C1NC2=CC(C3=CC=CO3)=CC=C2C2=C1CCC2.[MgH2],O=C1NC2=CC(C3=CC=CO3)=CC=C2C2CCCC12,Predict the outcome of the reaction given the reactants CC(=O)O.CO.Cl.O=C1NC2=CC(C3=CC=CO3)=CC=C2C2=C1CCC2.[MgH2].,forward reaction prediction,train
C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H](C)N1CCNC(=O)[C@@H]1CCCCN1C1=NC2=CC=CC=C2O1.ClCCl.O=C(O)C(F)(F)F,C[C@@H]1CNC[C@H](C)N1CCNC(=O)[C@@H]1CCCCN1C1=NC2=CC=CC=C2O1,Predict the outcome of the reaction given the reactants C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@H](C)N1CCNC(=O)[C@@H]1CCCCN1C1=NC2=CC=CC=C2O1.ClCCl.O=C(O)C(F)(F)F.,forward reaction prediction,train
C1=CC=C([PH](C2=CC=CC=C2)(C2=CC=CC=C2)[Pd]([PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1COCCO1.CC(C)N1C(=O)NC2=CC(B(O)O)=CC=C21.FC1=CC=C2C(=CBr)C3=CC=CC=C3COC2=C1.O=C([O-])[O-].[Na+],CC(C)N1C(=O)NC2=CC(C=C3C4=CC=CC=C4COC4=CC(F)=CC=C34)=CC=C21,Analyze the structure of C1=CC=C([PH](C2=CC=CC=C2)(C2=CC=CC=C2)[Pd]([PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1COCCO1.CC(C)N1C(=O)NC2=CC(B(O)O)=CC=C21.FC1=CC=C2C(=CBr)C3=CC=CC=C3COC2=C1.O=C([O-])[O-].[Na+] and predict what product it will yield.,forward reaction prediction,train
CC1=CC=C([N+](=O)[O-])C=C1C.CCC(=O)CC.O=C(O)C1=CC=CC=C1.[H][H].[Pd],CCCN(CC)C1=CC=C(C)C(C)=C1,"Given the following reactant(s) CC1=CC=C([N+](=O)[O-])C=C1C.CCC(=O)CC.O=C(O)C1=CC=CC=C1.[H][H].[Pd], predict the most likely product.",forward reaction prediction,train
CC(C)(O)CC1=CN(N)C2=CC=C(F)C=C12.CC1=CC=CC=C1.CC1=NC(C2=CC=CC(F)=C2)=NC=C1C(=O)O.CN(C)C1=CC=NC=C1.CN(C)C=O.ClCCl.O=C(Cl)C(=O)Cl.O=C([O-])[O-].[Na+],CC1=NC(C2=CC=CC(F)=C2)=NC=C1C(=O)NN1C=C(CC(C)(C)O)C2=CC(F)=CC=C21,"Given the following reactant(s) CC(C)(O)CC1=CN(N)C2=CC=C(F)C=C12.CC1=CC=CC=C1.CC1=NC(C2=CC=CC(F)=C2)=NC=C1C(=O)O.CN(C)C1=CC=NC=C1.CN(C)C=O.ClCCl.O=C(Cl)C(=O)Cl.O=C([O-])[O-].[Na+], predict the most likely product.",forward reaction prediction,train
COC(=O)C1=CC=CN=C1NC(=O)C(C)CSC(C)=O.COC(=O)C1=CN=CC=C1NC(=O)C(C)CSC(C)=O,COC(=O)C1=CN=CC=C1NC(=O)C(C)CS,Analyze the reactant(s) COC(=O)C1=CC=CN=C1NC(=O)C(C)CSC(C)=O.COC(=O)C1=CN=CC=C1NC(=O)C(C)CSC(C)=O and predict the expected product. Explain your reasoning.,forward reaction prediction,train
C1=CNC=N1.CC(C)(C)[Si](C)(C)Cl.ClCCl.OCC1(CCOCC2=CC=CC=C2)CCC1.[Cl-].[NH4+],CC(C)(C)[Si](C)(C)OCC1(CCO)CCC1,Predict the outcome of the reaction given the reactants C1=CNC=N1.CC(C)(C)[Si](C)(C)Cl.ClCCl.OCC1(CCOCC2=CC=CC=C2)CCC1.[Cl-].[NH4+].,forward reaction prediction,train
C=CC(C)=O.CO.O=C(OCC1=CC=CC=C1)N1CCC[C@@H]1CC1=CNC2=CC=C(Br)C=C12,CC(=O)C=CC1=CC=C2NC=C(C[C@H]3CCCN3C(=O)OCC3=CC=CC=C3)C2=C1,"For the reactants C=CC(C)=O.CO.O=C(OCC1=CC=CC=C1)N1CCC[C@@H]1CC1=CNC2=CC=C(Br)C=C12, predict the final product of the chemical reaction.",forward reaction prediction,train
C=CCN(CC1=CC=C(OC(F)(F)F)C=C1)C1=CC=C(C(C)=O)C=N1.CC#N.CC(=O)[O-].CC1=CC=CC=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.CCN(C(C)C)C(C)C.COC1=CC=C(Br)C=C1.[Pd+2],COC1=CC=C(/C=C/CN(CC2=CC=C(OC(F)(F)F)C=C2)C2=CC=C(C(C)=O)C=N2)C=C1,"Using the reactants C=CCN(CC1=CC=C(OC(F)(F)F)C=C1)C1=CC=C(C(C)=O)C=N1.CC#N.CC(=O)[O-].CC1=CC=CC=C1P(C1=CC=CC=C1C)C1=CC=CC=C1C.CCN(C(C)C)C(C)C.COC1=CC=C(Br)C=C1.[Pd+2], determine the product of the chemical reaction.",forward reaction prediction,train
C1=CC=CC=C1.CC1=CC=C(S(=O)(=O)O)C=C1.CCOC(=O)C(C#N)CC(=O)CC.O.OCCO,CCOC(=O)C(C#N)CC1(CC)OCCO1,Predict the outcome of the reaction given the reactants C1=CC=CC=C1.CC1=CC=C(S(=O)(=O)O)C=C1.CCOC(=O)C(C#N)CC(=O)CC.O.OCCO.,forward reaction prediction,train
CC(=O)OC[C@@H](O)[C@@H](OCC1=CC=CC=C1)[C@H](OC(C)=O)[C@@H](O)C=O.CCO.[H][H].[Pd],CC(=O)OC[C@@H](O)[C@@H](O)[C@H](OC(C)=O)[C@@H](O)C=O,What is the expected product for the reaction with the reactants CC(=O)OC[C@@H](O)[C@@H](OCC1=CC=CC=C1)[C@H](OC(C)=O)[C@@H](O)C=O.CCO.[H][H].[Pd]? Explain.,forward reaction prediction,train
CC1=CC=C(S(=O)(=O)OCCOCCOCC2=CC=CC=C2)C=C1.OC1CCOCC1,C1=CC=C(COCCOCCOC2CCOCC2)C=C1,What is the expected product for the reaction with the reactants CC1=CC=C(S(=O)(=O)OCCOCCOCC2=CC=CC=C2)C=C1.OC1CCOCC1? Explain.,forward reaction prediction,train
CSC1=C(C)N(C2=C(Cl)C=C(C(F)(F)F)C=C2Cl)N=C1C=NO.O=C(O)C(F)(F)F.OO,CC1=C(S(C)=O)C(C=NO)=NN1C1=C(Cl)C=C(C(F)(F)F)C=C1Cl,Analyze the reactant(s) CSC1=C(C)N(C2=C(Cl)C=C(C(F)(F)F)C=C2Cl)N=C1C=NO.O=C(O)C(F)(F)F.OO and predict the expected product. Explain your reasoning.,forward reaction prediction,train
CCN(CC)S(F)(F)F.CS(=O)C1=CC=C([C@H]2OC(C)(C)N(C(=O)OC(C)(C)C)[C@@H]2CF)C=C1.ClCCl.Cl[Sb](Cl)Cl.O=C([O-])O.[Na+],CC(C)(C)OC(=O)N1[C@H](CF)[C@@H](C2=CC=C(SCF)C=C2)OC1(C)C,"Using the input CCN(CC)S(F)(F)F.CS(=O)C1=CC=C([C@H]2OC(C)(C)N(C(=O)OC(C)(C)C)[C@@H]2CF)C=C1.ClCCl.Cl[Sb](Cl)Cl.O=C([O-])O.[Na+], provide your prediction for the product of the reaction.",forward reaction prediction,train
CCO.CCOCC.CCOCOC1=CC2=C(C=C1CN1C(=O)C3=CC=CC=C3C1=O)OCCO2.NN,CCOCOC1=CC2=C(C=C1CN)OCCO2,Analyze the reactant(s) CCO.CCOCC.CCOCOC1=CC2=C(C=C1CN1C(=O)C3=CC=CC=C3C1=O)OCCO2.NN and predict the expected product. Explain your reasoning.,forward reaction prediction,train
C1CCOC1.NC1=CC(Cl)=NC(Cl)=N1.OCC1=CC=CC2=CC=CC=C12.[H-].[Na+],NC1=CC(Cl)=NC(OCC2=CC=CC3=CC=CC=C23)=N1,What is the expected product for the reaction with the reactants C1CCOC1.NC1=CC(Cl)=NC(Cl)=N1.OCC1=CC=CC2=CC=CC=C12.[H-].[Na+]? Explain.,forward reaction prediction,train
CCN(CC)CC.CCO.CCOC1=CC=C(N)C=C1.ClC1=NN2C(Br)=CN=C2C(Br)=C1,CCOC1=CC=C(NC2=CC(Cl)=NN3C(Br)=CN=C23)C=C1,"Based on the molecular input CCN(CC)CC.CCO.CCOC1=CC=C(N)C=C1.ClC1=NN2C(Br)=CN=C2C(Br)=C1, predict the product of the reaction.",forward reaction prediction,train
CON=C1C[C@@H](C(=O)O)N(C(=O)OC(C)(C)C)C1.NCCCO.O=S(=O)(Cl)C1=CC=C(C2=CC=CC=C2)C=C1,CON=C1C[C@@H](C(=O)NCCCO)N(S(=O)(=O)C2=CC=C(C3=CC=CC=C3)C=C2)C1,Analyze the reactant(s) CON=C1C[C@@H](C(=O)O)N(C(=O)OC(C)(C)C)C1.NCCCO.O=S(=O)(Cl)C1=CC=C(C2=CC=CC=C2)C=C1 and predict the expected product. Explain your reasoning.,forward reaction prediction,train
CN(C)CCCN.COC(=O)CN1N=C(C2=CC=C(NS(=O)(=O)C3=CC=CC(Cl)=C3Cl)C(F)=C2)C2=C(N)N=CN=C21,CN(C)CCCNC(=O)CN1N=C(C2=CC=C(NS(=O)(=O)C3=CC=CC(Cl)=C3Cl)C(F)=C2)C2=C(N)N=CN=C21,"Given the reactant(s) CN(C)CCCN.COC(=O)CN1N=C(C2=CC=C(NS(=O)(=O)C3=CC=CC(Cl)=C3Cl)C(F)=C2)C2=C(N)N=CN=C21, predict the product of the chemical reaction.",forward reaction prediction,train
C1=CC=NC=C1.CC1=CC=C(S(=O)(=O)Cl)C=C1.ClCCl.OC[C@@H]1CCCO1,CC1=CC=C(S(=O)(=O)OC[C@@H]2CCCO2)C=C1,Predict the outcome of the reaction given the reactants C1=CC=NC=C1.CC1=CC=C(S(=O)(=O)Cl)C=C1.ClCCl.OC[C@@H]1CCCO1.,forward reaction prediction,train
CC1=CC=CC=C1.CCOCC.NC1=NC=CC=C1OCC1=CC=C(Cl)C=C1.S=C=NC1=CC=CC=C1,S=C(NC1=CC=CC=C1)NC1=NC=CC=C1OCC1=CC=C(Cl)C=C1,"Using the reactants CC1=CC=CC=C1.CCOCC.NC1=NC=CC=C1OCC1=CC=C(Cl)C=C1.S=C=NC1=CC=CC=C1, determine the product of the chemical reaction.",forward reaction prediction,train
BrCC#CC1=CC=CC=C1.C1CCOC1.C1CNCCN1,C(#CC1=CC=CC=C1)CN1CCNCC1,"Using the input BrCC#CC1=CC=CC=C1.C1CCOC1.C1CNCCN1, provide your prediction for the product of the reaction.",forward reaction prediction,train
C1CCOC1.CCO.CCOC(=O)C1=C(C)ON=C1C1=NC=CC=C1F.Cl.O.[Na+].[OH-],CC1=C(C(=O)O)C(C2=NC=CC=C2F)=NO1,"Using the input C1CCOC1.CCO.CCOC(=O)C1=C(C)ON=C1C1=NC=CC=C1F.Cl.O.[Na+].[OH-], provide your prediction for the product of the reaction.",forward reaction prediction,train
COC(=O)C1=C(CBr)NC(C2=NC=CS2)=N[C@H]1C1=CC=C(F)C=C1Cl.O=CC1=CC=CC(F)=C1Br,COC(=O)C1=C(CBr)NC(C2=NC=CS2)=N[C@H]1C1=CC=CC(F)=C1Br,Analyze the structure of COC(=O)C1=C(CBr)NC(C2=NC=CS2)=N[C@H]1C1=CC=C(F)C=C1Cl.O=CC1=CC=CC(F)=C1Br and predict what product it will yield.,forward reaction prediction,train
C1CCCCC1.C1CCOC1.C[Si]1(C)CC[Si](C)(C)N1C1=CC=CC(F)=C1.O=C([O-])[O-].O=C1CN(C(C2=CC=CC=C2)C2=CC=CC=C2)C1.[K+].[Li]C(C)CC,NC1=CC=C(C2(O)CN(C(C3=CC=CC=C3)C3=CC=CC=C3)C2)C(F)=C1,Analyze the structure of C1CCCCC1.C1CCOC1.C[Si]1(C)CC[Si](C)(C)N1C1=CC=CC(F)=C1.O=C([O-])[O-].O=C1CN(C(C2=CC=CC=C2)C2=CC=CC=C2)C1.[K+].[Li]C(C)CC and predict what product it will yield.,forward reaction prediction,train
CCN(CC)CC.CS(=O)(=O)Cl.ClCCl.OCC1=COC(Cl)=N1.[Cl-].[NH4+],CS(=O)(=O)OCC1=COC(Cl)=N1,Analyze the structure of CCN(CC)CC.CS(=O)(=O)Cl.ClCCl.OCC1=COC(Cl)=N1.[Cl-].[NH4+] and predict what product it will yield.,forward reaction prediction,train
